"","species","n","commonName"
"116","Kogia sima",108,"dwarf sperm whale"
"117","Orcinus orca",108,"killer whale"
"118","Lampanyctus tenuiformis",107,"Slender lanternfish"
"119","Squalus acanthias",106,"spiny dogfish"
"120","Diaphus theta",104,"California headlightfish"
"121","Fulmarus glacialis",102,"Northern fulmar"
"122","Fulmarus glacialoides",102,"Southern fulmar"
"123","Thalassarche cauta",102,"Shy albatross"
"124","Pachyptila salvini",101,"Salvin's prion"
"125","Zeus faber",101,"John dory"
"126","Notacanthus sexspinis",100,"spiny-back eel"
"127","Salpa fusiformis",100,"Salpa fusiformis"
"128","Tragulichthys jaculiferus",100,"longspine burrfish"
"129","Procellaria cinerea",99,"Grey petrel"
"130","Nemichthys scolopaceus",98,"slender snipe eel"
"131","Cheilopogon xenopterus",95,"whitetip flyingfish"
"132","Hoplostethus mediterraneus",93,"Mediterranean slimehead"
"133","Trachyscorpia eschmeyeri",92,"cape rockfish"
"134","Cubiceps pauciradiatus",90,"longfin fathead"
"135","Myctophum lunatum",90,"Myctophum lunatum"
"136","Protomyctophum thompsoni",90,"bigeye lanternfish"
"137","Scorpaena papillosa",89,"Red rock cod"
"138","Tactostoma macropus",88,"longfin dragonfish"
"139","Zenopsis nebulosa",86,"mirror dory"
"140","Merluccius australis",85,"southern hake"
"141","Cyclothone alba",84,"bristlemouth"
"142","Centroberyx affinis",81,"redfish"
"143","Fregetta grallaria",81,"white-bellied storm-petrel"
"144","Gadomus aoteanus",79,"Filamentous rattail"
"145","Bassanago hirsutus",77,"hairy conger"
"146","Neoachiropsetta milfordi",77,"Armless flounder"
"147","Sigmops gracilis",77,"slender fangjaw"
"148","Carcharodon carcharias",76,"great white shark"
"149","Megaptera novaeangliae",76,"humpback whale"
"150","Pterodroma macroptera",75,"great-winged petrel"
"151","Trachyrincus aphyodes",75,"Trachyrincus aphyodes"
"152","Melamphaes lugubris",73,"highsnout bigscale"
"153","Macronectes halli",72,"Northern giant petrel"
"154","Beryx splendens",71,"splendid alfonsino"
"155","Pseudorca crassidens",70,"false killer whale"
"156","Phoebetria fusca",68,"Dark-mantled sooty albatross"
"157","Dalatias licha",67,"kitefin shark"
"158","Sigmops elongatus",67,"elongated bristlemouth fish"
"159","Kathetostoma giganteum",66,"Giant stargazer"
"160","Centrophorus squamosus",64,"leafscale gulper shark"
"161","Coelorinchus aspercephalus",64,"rough-head whiptail"
"162","Antimora microlepis",63,"finescale mora"
"163","Hirundichthys speculiger",63,"mirrorwing flyingfish"
"164","Pterygotrigla picta",63,"Spotted gurnard"
"165","Chaunax pictus",62,"pink frogmouth"
"166","Hirundichthys marginatus",62,"banded flyingfish"
"167","Salpa thompsoni",61,"Salpa thompsoni"
"168","Chauliodus macouni",60,"Pacific viperfish"
"169","Prionace glauca",60,"blue shark"
"170","Protomyctophum crockeri",60,"California flashlightfish"
"171","Squalus blainville",60,"longnose spurdog"
"172","Seriolella caerulea",59,"white warehou"
"173","Hygophum reinhardtii",57,"Reinhardt's lanternfish"
"174","Allomycterus pilatus",56,"deepwater burrfish"
"175","Coryphaena equiselis",56,"Pompano dolphinfish"
"176","Pachyptila vittata",55,"Broad-billed prion"
"177","Gempylus serpens",54,"snake mackerel"
"178","Rexea solandri",54,"silver gemfish"
"179","Beryx decadactylus",51,"alfonsino"
"180","Centriscops humerosus",51,"Banded bellowsfish"
"181","Phocoenoides dalli",51,"Dall's porpoise"
"182","Centroscymnus coelolepis",49,"Portuguese dogfish"
"183","Meuschenia scaber",49,"velvet leatherjacket"
"184","Diogenichthys laternatus",48,"Diogenes lanternfish"
"185","Cyclothone pseudopallida",47,"slender bristlemouth"
"186","Diaphus nielseni",47,"Diaphus nielseni"
"187","Diretmichthys parini",47,"Parin's spinyfin"
"188","Lampanyctus omostigma",47,"Lampanyctus omostigma"
"189","Macronectes giganteus",47,"Southern giant petrel"
"190","Ambophthalmos angustus",46,"Pale toadfish"
"191","Coelorinchus oliverianus",46,"hawknose grenadier"
"192","Diomedea epomophora",46,"Southern royal albatross"
"193","Lepidopus caudatus",46,"silver scabbardfish"
"194","Pteroplatytrygon violacea",46,"pelagic stingray"
"195","Chelonia mydas",45,"Green sea turtle"
"196","Lipolagus ochotensis",45,"eared blacksmelt"
"197","Macroramphosus scolopax",45,"longspine snipefish"
"198","Ptychoramphus aleuticus",45,"Cassin's auklet"
"199","Isistius brasiliensis",44,"cookie cutter shark"
"200","Callorhinus ursinus",43,"northern fur seal"
"201","Centrolophus niger",43,"blackfish"
